Sampling_Date,SampleTrackerNo,Year,Month,Season,Operator,co2_treatment,Ring,Block,Collar_Unique_ID,ch4_flux,ch4_mdf,co2_flux,co2_mdf,n2o_flux,n2o_mdf,Sampling_Date_tz
2013-02-10,4125.0,2013,Oct,Spring,Pankaj,Elevated,1,1,1.0,-17.305,10.206,48.739,4.0360000000000005,-4.0680000000000005,4.184,2013-02-10 00:00:00+11:00
2013-02-10,4126.0,2013,Oct,Spring,Pankaj,Elevated,1,1,1.1,-22.105999999999998,9.891,43.592,3.911,-1.4880000000000002,4.053999999999999,2013-02-10 00:00:00+11:00
2013-02-10,4127.0,2013,Oct,Spring,Pankaj,Elevated,1,1,1.2,-25.4,9.597999999999999,45.049,3.795,1.518,3.9339999999999997,2013-02-10 00:00:00+11:00
2013-02-10,4128.0,2013,Oct,Spring,Pankaj,Elevated,1,1,1.4,-23.214000000000002,10.052,57.578,3.975,2.986,4.121,2013-02-10 00:00:00+11:00
2013-02-10,4129.0,2013,Oct,Spring,Pankaj,Elevated,1,1,1.5,-41.891000000000005,10.262,53.188,4.058,-2.458,4.206,2013-02-10 00:00:00+11:00
2013-02-10,4130.0,2013,Oct,Spring,Pankaj,Elevated,1,1,1.6,-30.664,10.83,44.051,4.282,-0.9711666666666668,4.439,2013-02-10 00:00:00+11:00
2013-02-10,4131.0,2013,Oct,Spring,Pankaj,Elevated,1,1,1.7,-23.072,10.182,54.443999999999996,4.026,-2.3169999999999997,4.1739999999999995,2013-02-10 00:00:00+11:00
2013-02-10,4132.0,2013,Oct,Spring,Pankaj,Ambient,2,1,2.0,-23.78,10.129,44.858000000000004,4.005,-2.716,4.152,2013-02-10 00:00:00+11:00
2013-02-10,4133.0,2013,Oct,Spring,Pankaj,Ambient,2,1,2.1,-20.502,9.988,53.744,3.949,-1.661,4.093999999999999,2013-02-10 00:00:00+11:00
2013-02-10,4134.0,2013,Oct,Spring,Pankaj,Ambient,2,1,2.2,-67.791,32.141999999999996,56.19,3.682,6.9910000000000005,3.8169999999999997,2013-02-10 00:00:00+11:00
2013-02-10,4135.0,2013,Oct,Spring,Pankaj,Ambient,2,1,2.3,-1.0759999999999998,10.343,58.753,4.09,7.882999999999999,4.24,2013-02-10 00:00:00+11:00
2013-02-10,4136.0,2013,Oct,Spring,Pankaj,Ambient,2,1,2.5,-16.973,10.290999999999999,52.256,4.069,7.0329999999999995,4.218,2013-02-10 00:00:00+11:00
2013-02-10,4137.0,2013,Oct,Spring,Pankaj,Ambient,2,1,2.6,-8.229,10.299000000000001,44.926,4.072,0.131,4.2219999999999995,2013-02-10 00:00:00+11:00
2013-02-10,4138.0,2013,Oct,Spring,Pankaj,Ambient,2,1,2.7,-24.074,10.205,85.01700000000001,4.035,2.93,4.183,2013-02-10 00:00:00+11:00
2013-02-10,4139.0,2013,Oct,Spring,Yui,Ambient,3,2,3.0,-42.309,9.843,70.575,3.892,-0.076,4.035,2013-02-10 00:00:00+11:00
2013-02-10,4140.0,2013,Oct,Spring,Yui,Ambient,3,2,3.1,-38.50449999999999,32.954,58.62266666666667,13.03,0.6978333333333332,13.508,2013-02-10 00:00:00+11:00
2013-02-10,4141.0,2013,Oct,Spring,Yui,Ambient,3,2,3.2,-46.278999999999996,10.197000000000001,63.396,4.032,2.182,4.18,2013-02-10 00:00:00+11:00
2013-02-10,4142.0,2013,Oct,Spring,Yui,Ambient,3,2,3.4,-40.455999999999996,10.068999999999999,35.48,3.9810000000000003,-0.322,4.127,2013-02-10 00:00:00+11:00
2013-02-10,4143.0,2013,Oct,Spring,Yui,Ambient,3,2,3.5,-32.301,10.001,48.743,3.9539999999999997,-0.498,4.099,2013-02-10 00:00:00+11:00
2013-02-10,4144.0,2013,Oct,Spring,Yui,Ambient,3,2,3.6,-39.44,9.869,66.949,3.9019999999999997,0.36,4.045,2013-02-10 00:00:00+11:00
2013-02-10,4145.0,2013,Oct,Spring,Yui,Ambient,3,2,3.7,-30.241999999999997,9.651,66.593,3.8160000000000003,2.541,3.9560000000000004,2013-02-10 00:00:00+11:00
2013-02-10,4146.0,2013,Oct,Spring,Yui,Elevated,4,2,4.0,7.28,10.447000000000001,47.096000000000004,4.131,-5.4479999999999995,4.282,2013-02-10 00:00:00+11:00
2013-02-10,4147.0,2013,Oct,Spring,Yui,Elevated,4,2,4.1,-28.91,10.75,81.084,4.251,-1.036,4.407,2013-02-10 00:00:00+11:00
2013-02-10,4148.0,2013,Oct,Spring,Yui,Elevated,4,2,4.3,29.403000000000002,9.677999999999999,52.125,3.827,-3.9960000000000004,3.967,2013-02-10 00:00:00+11:00
2013-02-10,4149.0,2013,Oct,Spring,Yui,Elevated,4,2,4.4,-28.285999999999998,10.277000000000001,58.693000000000005,4.064,-0.026000000000000002,4.213,2013-02-10 00:00:00+11:00
2013-02-10,4150.0,2013,Oct,Spring,Yui,Elevated,4,2,4.5,-31.024,10.279000000000002,76.035,4.064,1.139,4.2139999999999995,2013-02-10 00:00:00+11:00
2013-02-10,4151.0,2013,Oct,Spring,Yui,Elevated,4,2,4.6,-28.259,10.743,82.67399999999999,4.248,-0.8540000000000001,4.404,2013-02-10 00:00:00+11:00
2013-02-10,4152.0,2013,Oct,Spring,Yui,Elevated,4,2,4.7,-25.828000000000003,9.607999999999999,41.393,3.799,-6.291,3.938,2013-02-10 00:00:00+11:00
2013-02-10,4153.0,2013,Oct,Spring,Pankaj,Elevated,5,3,5.0,-42.523,9.556000000000001,48.256,3.779,0.737,3.917,2013-02-10 00:00:00+11:00
